번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
431,교통사고처리특례법위반·도로교통법위반(음주운전),2005도3298,2005. 7. 14.,도로교통법,"제41조, 제107조의2","[1] 위드마크 공식에 의한 역추산 방식을 이용한 혈중 알코올농도의 산정에 있어서 주의할 점
[2] 교통사고 후 음주측정기에 의한 측정 결과를 토대로 위드마크 공식에 의하여 역추산한 혈중 알코올농도가 0.0518%로서 처벌기준치를 근소하게 초과하는 사안에서, 교통사고 발생시점이 혈중 알코올농도가 최고수치에 이른 때로부터 65분 정도 이전인 점 등에 비추어 운전 당시의 혈중 알코올농도가 처벌기준치를 초과한 것이라고 단정할 수 없다고 한 사례"
434,도로교통법위반(음주운전),2008노4888,2009. 4. 28.,도로교통법,"제44조, 제150조","[1] 위드마크(Widmark) 공식을 이용하여 혈중알콜농도를 산정할 때 주의할 점
[2] 위드마크 공식의 전제조건인 피고인의 음주량, 음주시각, 체중에 관한 증거가 부족하고, 피고인에게 유리한 위드마크 계수를 적용하면 혈중알콜농도가 처벌기준치를 근소하게 초과한 정도에 불과하여, 도로교통법에서 정한 음주운전을 하였다고 단정할 수 없다고 한 사례"
435,도로교통법위반,2005도8873,2006. 1. 13.,도로교통법,"제71조의16, 제107조의2","[1] 법률의 착오에 관한           형법 제16조의 규정 취지        
[2] 무등록 유상 운전교육 등을 금지한           도로교통법 제107조의2 제5호,           제71조의16의 규정이 위헌인지 여부(소극)"
436,도로교통법위반,98도3714,1999. 2. 23.,도로교통법,"제52조, 제109조",운전면허를 받지 아니한 사람이 자동차를 운전하는 것을 알고도 이를 말리지 아니한 고용주가 도로교통법 제109조 제4호에 해당하는지 여부(소극)
437,도로교통법위반,2002도4220,2002. 10. 25.,도로교통법,제41조,"[1] 호흡측정기에 의한 측정절차를 생략하고 바로 혈액채취에 의한 측정을 하여야 하는 경우
[2] 경찰공무원이 호흡측정을 거부하는 주취운전자에게 혈액측정방법의 존재를 고지하여야 하는지 여부(소극)"
438,특정범죄가중처벌등에관한법률위반(도주차량)등,88고합214,1988. 5. 27.,도로교통법,제50조,"특정범죄가중처벌등에관한법률 제5조의3(도주운전)의 죄가 성립하는 경우,           도로교통법 제50조 제2항의 신고 불이행죄가 별도로 성립하는 여부(소극)"
446,도로교통법위반(음주운전),2020도6417,2023. 12. 28.,도로교통법,"제44조, 제148조의2",위드마크(Widmark) 공식을 적용하여 수학적 방법에 따른 계산결과로 운전 당시의 혈중알코올농도를 추정할 때 사용되는 방식 및 이때 그 적용의 전제가 되는 개별적이고 구체적인 사실에 관하여 엄격한 증명을 요하는지 여부(적극) / 해당 운전자의 시간당 알코올분해량을 계산할 때 고려할 사항 / 시간당 알코올분해량에 관하여 알려져 있는 신빙성 있는 통계자료 중 피고인에게 가장 유리한 것을 대입하여 위드마크 공식을 적용하여 운전 당시의 혈중알코올농도를 추정한 계산결과를 유죄의 인정자료로 사용할 수 있는지 여부(적극)
447,"도주차량,특정범죄가중처벌등에관한법률위반",91도711,1991. 5. 28.,도로교통법,"제50조, 제106조","가.           특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 ""차의 교통으로 인하여           형법 제268조의 죄를 범한 당해차량의 운전자""에 과실이 없는 사고 운전자까지 포함되는지 여부(소극)        
나.           특정범죄가중처벌등에관한법률 제5조의3 제1항 제1호,           형법 제268조 위반으로 기소되었으나 업무상 과실은 인정되지 아니하고           도로교통법 제50조 제1항 위반의 사실만 인정되는 경우, 공소장 변경 없이           도로교통법 제106조,           제50조 제1항을 적용하여 처벌할 수 있는지 여부(소극)"
448,도로교통법위반(음주운전),2002도6762,2003. 4. 25.,도로교통법,"제41조, 제107조의2","[1] 위드마크 공식을 사용하여 주취정도를 계산함에 있어 그 전제사실을 인정하기 위한 입증 정도
[2] 위드마크 공식에 의한 역추산 방식을 이용한 혈중알코올농도의 산정에 있어서 고려하여야 할 점
[3] 사후 음주측정기에 의한 측정결과를 토대로 위드마크 공식에 의하여 역추산한 혈중알코올농도가 처벌기준치를 근소하게 상회하더라도 운전 당시 처벌기준치를 초과한 음주운전이 있었던 것으로 단정할 수 없다고 한 사례"
450,특정범죄가중처벌등에관한법률위반,92도3126,1993. 2. 23.,도로교통법,제2조,"중기관리법에 의한 중기로 등록된 덤프트럭이 구 도로교통법(1992.12.8. 법률 제4518호로 개정되기 전의 것) 제2조 제14호 소정의 ""자동차""에 해당하는지 여부(소극)"
451,특정범죄가중처벌등에관한법률위반,92도3126,1993. 2. 23.,도로교통법,제2조,"중기관리법에 의한 중기로 등록된 덤프트럭이 구 도로교통법(1992.12.8. 법률 제4518호로 개정되기 전의 것) 제2조 제14호 소정의 ""자동차""에 해당하는지 여부(소극)"
452,특정범죄가중처벌등에관한법률위반,92도3126,1993. 2. 23.,도로교통법,제2조,중기관리법에 의한 중기로 등록된 덤프트럭이           구 도로교통법(1992.12.8. 법률 제4518호로 개정되기 전의 것) 제2조 제14호 소정의 “자동차”에 해당하는지 여부(소극)
454,도로교통법위반,99도3567,1999. 11. 12.,도로교통법,"제13조의2, 제113조","도로교통법상 지정차로 제도가 폐지된 경우, 그 이전에 범하여진 지정차로위반행위의 가벌성이 소멸되는지 여부(소극)"
459,도로교통법위반,99도5393,2001. 6. 26.,도로교통법,"제41조, 제107조",이른바 ‘위드마크(Widmark) 공식’을 적용하여 혈중알코올 농도를 계산함에 있어 그 전제사실을 인정하기 위한 증명 정도 및 그 계산결과를 유죄의 인정자료로 사용할 수 있는 경우
460,도로 교통법 위반(음주 운전),2009도10871,2011. 5. 13.,도로교통법,제148조의2,"[1] 피의자의 동의 또는 영장 없이 채취한 혈액을 이용한 감정결과보고서 등의 증거능력 유무
[2] 피고인이 음주운전 중에 교통사고를 당하여 의식불명 상태에서 병원 응급실로 호송되었는데, 출동한 경찰관이 영장 없이 간호사로 하여금 채혈을 하도록 한 사안에서, 위 혈액을 이용한 혈중알코올농도에 관한 감정서 등의 증거능력을 부정하고 증거부족을 이유로 피고인에 대한 구 도로교통법 위반(음주운전)의 주위적 공소사실을 무죄로 인정한 원심판단을 수긍한 사례"
461,자동차운전면허취소처분취소,97누2313,1997. 5. 16.,도로교통법,"제40조, 제78조, 제104조","[1]           도로교통법시행규칙 제53조 제2항에 위반되는 방식으로 통지 또는 송달이 이루어진 운전면허정지처분의 효력        
[2] 음주운전을 단속한 경찰관 명의로 행한 운전면허정지처분의 효력(무효)
[3] 제1종 보통면허로 운전할 수 있는 차량을 운전면허정지기간 중에 운전한 경우에 이와 관련된 원동기장치자전거면허까지 취소할 수 있는지 여부(적극)"
462,도로교통법위반(음주운전),2019도5426,2019. 10. 31.,도로교통법,제148조의2,"[1] 항소심에서 피고인이 불출석한 상태에서 그 진술 없이 판결하기 위한 요건
  [2] 피고인이 제1심에서 도로교통법 위반(음주운전)죄로 유죄판결을 받고 항소한 후 원심 제1회, 제2회 공판기일에 출석하였고, 제3회 공판기일에 변호인만이 출석하고 피고인은 건강상 이유를 들어 출석하지 않았으나, 제4회 공판기일에 변호인과 함께 출석하자 원심은 변론을 종결하고 제5회 공판기일인 선고기일을 지정하여 고지하였는데, 피고인과 변호인이 모두 제5회 공판기일에 출석하지 아니하자 원심이 피고인의 출석 없이 공판기일을 개정하여 피고인의 항소를 기각하는 판결을 선고한 사안에서, 원심의 조치에 소송절차에 관한 형사소송법 제365조를 위반한 잘못이 있다고 한 사례"
467,특정범죄처벌등에관한법률위반ㆍ도로교통법위반,83도2924,1984. 1. 17.,도로교통법,제45조,차량사고후 사고차량을 인근 골목안에 주차시킨 경우와 도주의 의사
483,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2005도2654,2005. 9. 30.,도로교통법,제50조,"[1] 진술을 요할 자에 대한 소재탐지촉탁 결과 그 소재를 알지 못하게 된 경우또는 진술을 요할 자가 법원의 소환에 불응하고 그에 대한 구인장이 집행되지 않은 경우가           형사소송법 제314조에 정한 '공판정에 출정하여 진술을 할 수 없는 때'에 해당하는지 여부(적극)        
[2]           특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항에 정한 '도주'의 의미        
[3] 피해자의 상해 정도가 치료할 필요가 없는 것이라고 할 수 없고, 사고의 경위와 피고인이 사고 직후 곧 정차하여 피해자의 상태를 살피지도 아니한 채 그대로 현장을 이탈한 사정에 비추어 피고인에게 도주의 의사가 있었다고 봄이 상당하다고 한 사례"
489,교통사고처리특례법위반,84도79,1984. 4. 10.,도로교통법,제17조,앞서가는 자전거를 추월하는 자동차운전자와 신뢰원칙의 적용한계
491,자동차운전면허취소처분취소,97구11387,1998. 7. 3.,도로교통법,"제70조, 제78조","직접 자동차를 운전하지 않은 동승자가 교통단속 경찰공무원 등을 폭행한 경우, 그 운전면허를 취소할 수 있는지 여부(소극)"
492,특수공무집행방해치상,2016고합105,2016. 7. 18.,도로교통법,"제14조, 제156조, 제163조, 제165조","피고인이 오토바이를 운전하다가 지정차로 위반을 이유로 경찰관 甲에게 단속되었는데, 甲이 검문용 휴대정보단말기에 피고인의 인적 사항을 입력하는 순간 갑자기 오토바이를 앞으로 진행하여 甲을 매단 채 약 10m를 끌고 가다가 도로에 넘어뜨렸다고 하여 특수공무집행방해치상으로 기소된 사안에서, 피고인을 공무집행방해죄로 처벌할 수 없다고 한 사례"
493,도로교통법위반(음주운전),2009도8376,2010. 1. 14.,도로교통법,제148조의2,"음주측정 결과를 기재한 음주운전자 적발보고서가 적법절차에 의하지 아니하고 수집된 증거로서 증거능력이 없다고 판단한 다음, 도로교통법 위반(음주운전)의 공소사실에 대하여 그 범죄의 증명이 없음을 이유로 무죄를 인정한 원심판결을 수긍한 사례"
495,특정가중처벌등에관한법률위반ㆍ도로교통법위반,84도1144,1984. 7. 24.,도로교통법,제45조,사고후 부모에게 사고발생을 알리려고 현장을 떠난 운전자의 구호의무위반 여부(적극)
498,집회및시위에관한법률위반·도로교통법위반,2009도11395,2010. 4. 8.,도로교통법,"제63조, 제68조, 제114조, 제157조",시위 방법의 하나로 행한 ‘삼보일배 행진’이 사회상규에 반하지 아니하는 정당행위에 해당한다고 한 사례
499,도로교통법위반(무면허운전),2008고정1174,2008. 10. 14.,도로교통법,"제40조, 제109조","[1] 운전면허 취소처분을 받은 후 자동차를 운전하였으나 위 취소처분에 취소사유가 있어 행정청이 이를 철회한 경우 철회처분의 효력
[2] 운전면허 정지기간 중에 자동차를 운전하였다는 이유로 운전면허 취소처분을 받은 자가 자동차를 운전하였다고 하더라도, 그 후 피의사실에 대하여 무혐의 처분을 받고 이를 근거로 행정청이 운전면허 취소처분을 철회하였다면, 위 운전행위는 무면허운전에 해당하지 않는다고 한 사례"
502,토지형질변경허가및준공취소처분효력정지,97두63,1998. 3. 10.,도로교통법,제71조의2,"[1] 행정소송법 제23조 제2항 소정의 '회복하기 어려운 손해'의 의미
[2] 운전학원운영자의 토지형질변경허가등취소처분취소처분를 기각한 원심판결을 파기환송하면서 그 집행정지불허결정에 대한 재항고를 인용한 사례"
517,자동차운전면허취소처분취소,91누1134,1991. 5. 14.,도로교통법,"제41조, 제78조",개인택시 운전수가 주취상태(사고 후 1시간 40분 경과한 때의 혈중 알콜농도 측정결과가 0.13퍼센트)에서 개인택시를 운전하다가 중앙선 침범으로 상해 및 재물손괴의 교통사고를 일으킨 경우에 그에 대한 자동차운전면허취소처분이 적법하다고 본 사례
543,자동차운전면허취소처분취소,97누17216,1997. 12. 26.,도로교통법,"제32조, 제40조, 제78조","[1] 운전면허취소에 있어서의 행정청의 재량행위 기준
[2] 운전면허정지처분기간 중 운전을 한 승용차 운전사의 운전면허를 취소한 처분이 재량권의 범위를 일탈·남용한 것이라고 본 원심을 파기한 사례"
545,자동차운전면허취소처분취소,94누13947,1995. 3. 24.,도로교통법,"제41조, 제78조","가. 음주측정거부를 이유로 자동차운전면허를 취소하는 경우, 혈중알코올농도 0.1% 이상의 상태에서 운전하였다는 객관적인 근거를 필요로 하는지 여부
나. 일반예방적인 측면이 더욱 강조되어야 한다는 이유로 음주측정을 거부한 개인택시운전자에 대한 운전면허취소처분에 재량권 일탈의 위법이 없다고 한 사례"
552,자동차운전면허취소처분취소,96누1931,1997. 9. 26.,도로교통법,제78조,"[1] 처분청이 당초의 운전면허 취소처분을 철회하고 정지처분을 한 경우, 당초의 취소처분을 대상으로 한 소의 이익 유무(소극)
[2] 운전면허 정지처분에서 정한 정지기간이 상고심 계속중에 도과한 경우, 그 정지처분의 취소를 구할 법률상 이익이 있는지 여부(소극)"
570,자동차운전면허취소처분취소,2000두5425,2000. 9. 26.,도로교통법,"제68조, 제70조, 제78조","[1] 한 사람이 여러 종류의 자동차운전면허를 취득하는 경우, 특정의 면허의 취소 또는 정지에 의하여 다른 운전면허에까지 당연히 그 취소 또는 정지의 효력이 미치는지 여부(소극)
[2] 제1종보통 운전면허와 제1종대형 운전면허를 취득한 자가 대형화물자동차를 운전하다가 교통사고를 낸 것과 관련하여 행정청이 운전면허정지처분을 하면서 면허의 종별을 기재하지 않고 면허번호만을 특정한 경우, 위 각 운전면허가 1개의 면허번호에 의하여 통합관리되고 있다고 하더라도 운전면허정지처분의 대상은 제1종대형 운전면허에 국한되므로 제1종보통 운전면허는 정지되지 않는다고 한 사례"
576,부당이득금반환,96다19079,1997. 10. 10.,도로교통법,제40조,"[1] 2종보통운전면허로 12인승 승합차를 운전한 것이 자동차종합보험보통약관상의 무면허운전에 해당하는지 여부(적극)
[2] 보험회사 직원이 보험계약자가 2종보통운전면허 소지자임에도 보험계약자를 12인승 승합차량의 주운전자로 하여 보험계약을 체결한 경우, 보험계약자의 운전이 2종보통운전면허가 취소·정지된 상태에서 이루어진 것이 아닌 한 무면허면책약관의 적용을 배제하기로 약정한 것으로 본 사례"
578,자동차운전면허취소처분취소,90누4495,1990. 11. 9.,도로교통법,"제41조, 제78조",혈액 1밀리리터당 알콜 1.2밀리그램의 음주상태에서 운전한 것을 이유로 한자동차운전면허취소처분이 적법하다고 본 사례
582,자동차운전면허취소처분취소,95누8362,1995. 9. 15.,도로교통법,"제41조, 제78조","가. 음주운전으로 인한 운전면허 취소요건
나. 혈중알콜농도 0.28%의 만취상태에서 택시를 운전하다가 교통사고로 물적 피해까지 입힌 운전자의 운전면허 취소처분이 재량권의 범위를 일탈한 위법이 없다고 한 사례"
588,특정범죄가중처벌 등에 관한 법률 위반(도주차량)(인정된 죄명: 교통사고처리특례법 위반),2007도2085,2007. 5. 10.,도로교통법,"제50조, 제54조",특정범죄가중처벌등에관한법률위반죄(도주차량)에 있어서 구호조치 필요성 유무의 판단 기준
602,자동차운전면허취소처분취소,97누6698,1997. 9. 5.,도로교통법,"제41조, 제78조",음주측정 거부로 인한 운전면허취소의 적정성을 부인한 사례
614,자동차운전면허취소처분취소,2005누1574,2005. 10. 19.,도로교통법,제78조,"제1종 대형면허로만 운전할 수 있는 25인승 승합자동차를 음주운전하다가 교통사고를 야기한 후 도주한 사유로 인하여 제1종 대형면허 취소처분을 하는 경우, 제1종 보통면허와 제2종 원동기장치자전거면허까지 함께 취소할 수 있으나, 제1종 특수면허(트레일러, 레커)를 함께 취소할 수는 없다고 한 사례"
620,파면처분취소,76누179,1976. 9. 14.,도로교통법,"제11조의2, 제31조",정류장에서의 앞지르기금지의무를 위반한 운전수에게 주의만을 준데 그친 교통단속 결찰공무원의 행위가 성실의무를 위반하여 직무를 태만히 한 것인지 여부
628,정정보도,96가합82966,1997. 9. 3.,도로교통법,"제41조, 제107조의2","[1] 명예훼손의 성립을 위한 피해자의 특정 정도
  [2] 언론매체에 의한 명예훼손 행위의 위법성 조각사유
  [3] 음주운전이 공공의 관심사에 해당하는지 여부(적극) 및 그 행위자가 누구인지 자체가 공공의 관심의 대상이 되는지 여부(한정적극)
  [4] TV 뉴스앵커를 지낸 방송사 보도국 차장이 공적 인물인지 여부(적극)
  [5] 음주운전 단속에 걸린 방송사 보도국 차장의 모습을 몰래 촬영하여 보도하는 것이 공공의 이익을 위한 것이라고 본 사례"
638,손해배상(자),96다22525,1996. 10. 15.,도로교통법,제58조,자동차 전용도로를 운행하는 자동차 운전자의 주의의무
649,자동차관리법위반,2016노1006,2017. 1. 13.,도로교통법,제39조,"[1] 자동차에 설치된 부착물이 자동차의 구조나 장치에 아무런 변경 없이 탈·부착이 가능하나, 구조적·용도적으로 결합하여 자동차와 일체로 사용될 수 있고 차량의 길이나 높이 등의 증가를 가져오는 경우, 그 부착물의 설치가 시장 등의 승인을 요하는 ‘자동차의 튜닝’에 해당하는지 여부(적극)
[2] 피고인이 시장 등의 승인을 받지 아니하고 피고인 소유의 트레일러에 냉동컨테이너를 얹어 고정시켜 튜닝된 자동차를 운행하였다고 하여 자동차관리법 위반으로 기소된 사안에서, 냉동컨테이너를 트레일러에 고정하는 것은 자동차에 부착물을 추가하는 것으로 같은 법이 규정하는 ‘자동차의 튜닝’에 해당하므로, 피고인이 트레일러에 냉동컨테이너를 얹어 고정시킨 상태에서 트레일러를 운행한 것은 승인 없이 튜닝한 자동차를 운행한 것이라는 이유로 유죄를 선고한 사례"
658,구상금,2025가단75932,2025. 7. 9.,도로교통법,제50조,"
 甲 주식회사가 乙 택시운송사업조합과 ‘법인택시 내부 모니터광고사업 대행계약’을 체결한 후 법인택시의 조수석 머리지지대 뒷면에 택시 내부 광고용 모니터를 설치하였는데, 위 모니터가 설치된 법인택시들이 선행 차량의 후미를 추돌하는 등 교통사고가 발생하여 조수석 뒤쪽 자리에 앉아 있던 승객들이 조수석 뒷면에 얼굴이나 머리 부위를 부딪히면서 상해를 입었고, 丙 택시운송사업조합연합회가 피해 승객들에게 공제금을 지급한 후 甲 회사와 생산물배상책임보험계약을 체결한 丁 보험회사를 상대로 구상금 지급을 구한 사안에서, 甲 회사가 모니터의 설치·보존에 관한 공작물책임이나 광고사업 대행계약 위반 내지 계약상 채무불이행으로 인한 손해배상책임을 부담한다고 볼 수 없으므로 丙 연합회의 구상금 청구는 이유 없다고 한 사례"
662,구상금,2025가단75932,2025. 7. 9.,도로교통법,제50조,"
 甲 주식회사가 乙 택시운송사업조합과 ‘법인택시 내부 모니터광고사업 대행계약’을 체결한 후 법인택시의 조수석 머리지지대 뒷면에 택시 내부 광고용 모니터를 설치하였는데, 위 모니터가 설치된 법인택시들이 선행 차량의 후미를 추돌하는 등 교통사고가 발생하여 조수석 뒤쪽 자리에 앉아 있던 승객들이 조수석 뒷면에 얼굴이나 머리 부위를 부딪히면서 상해를 입었고, 丙 택시운송사업조합연합회가 피해 승객들에게 공제금을 지급한 후 甲 회사와 생산물배상책임보험계약을 체결한 丁 보험회사를 상대로 구상금 지급을 구한 사안에서, 甲 회사가 모니터의 설치·보존에 관한 공작물책임이나 광고사업 대행계약 위반 내지 계약상 채무불이행으로 인한 손해배상책임을 부담한다고 볼 수 없으므로 丙 연합회의 구상금 청구는 이유 없다고 한 사례"
666,보험금,88다카14496,1989. 5. 23.,도로교통법,제41조,자손사고의 경우 보험자의 면책을 규정한 주취운전 여부에 관하여 심리미진과 채증법칙위배의 위법이 있다 하여 원심판결을 파기한 사례
672,보험금등,92다38928,1993. 3. 9.,도로교통법,제40조,"가. 자가운전자동차종합보험약관 제10조 제1항 제6호 소정의 무면허운전면책 규정의 효력 유무(한정적극)
나. 운전면허정지기간 중의 운전이 위 면책규정상의 무면허운전에 해당되는지 여부(적극)
다. 보험계약을 체결하면서 보통보험약관이 계약내용에 포함된 경우 보험계약자가 무면허운전면책약관의 내용을 알지 못하였다면 약관의 구속력을 배제할 수 있는지 여부(소극)"
683,자동차운전면허취소처분취소,96누10812,1996. 10. 11.,도로교통법,"제41조, 제78조","[1] 교통사고를 야기하지 않은 주취운전자에 대한 자동차운전면허취소처분에 있어, 운전자의 불이익과 공익목적 실현의 비교교량
[2] 대학교수가 혈중 알코올농도 0.11%의 주취상태에서 승용차를 운전한 경우 교통사고를 야기하지 않았더라도 면허취소사유에 해당한다고 하여, 원심판결을 파기한 사례"
684,자동차운전면허취소처분취소,95누8126,1995. 9. 29.,도로교통법,"제41조, 제78조","가. 운전면허 취소에 있어서 행정청의 재량행위 기준
나. 알콜혈중농도 0.18%상태에서 음주운전하다가 물적 교통사고를 낸 택시운전사에 대하여 운전면허를 취소한 처분을 재량권 일탈로 본 원심판결을 파기한 사례"
685,자동차운전면허취소처분취소,98구9300,1998. 9. 24.,도로교통법,"제41조, 제78조","[1] 음주측정 직전에 구강청결제를 입안에 뿌린 운전자에 대한 혈중알코올 농도 0.5%의 음주측정 결과가 측정 당시 운전자의 상태 및 알코올이 생리반응에 미치는 정도 등에 비추어 신빙성이 없다는 이유로, 위 측정 결과에 기한 운전면허취소처분이 위법하다고 본 사례
  [2] 위드마크 공식에 의한 음주 정도 측정 결과를 운전면허 취소기준으로 삼을 수 있는지 여부(소극)"
688,"특정범죄가중처벌등에관한법률위반(도주차량, 일부인정된죄명 교통사고처리특례법위반)",95도1680,1995. 11. 24.,도로교통법,제50조,"[1]           특정범죄가중처처벌등에관한법률 제5조의3 제1항 소정의 '도주한 때'의 의미        
  [2] 교통사고 피해자들에 대한 구호의무를 다하지 않고 도주한 것으로 본 사례"
691,특정범죄가중처벌등에관한법률위반(위험운전치상),2020도9994,2020. 12. 30.,도로교통법,제2조,"[1] 도로교통법 제2조 제26호에서 규정하는 ‘운전’의 의미
[2] 피고인이 시동을 걸지 못하고 제동장치를 조작하다 차량이 후진하면서 추돌 사고를 야기하여 특정범죄 가중처벌 등에 관한 법률 위반(위험운전치상)으로 기소된 사안에서, 차량의 시동이 켜지지 않은 상태였던 경우 자동차를 본래의 사용방법에 따라 사용했다고 볼 수 없다고 한 사례"
704,자동차운전면허취소처분취소,96누17578,1997. 2. 28.,도로교통법,제78조,"한 사람이 여러 종류의 자동차운전면허를 소지한 경우, 제1종 대형면허를 취소할 때에 제1종 보통면허까지 취소할 수 있는지 여부(적극)"
721,자동차운전면허취소처분취소등,94누14360,1995. 4. 7.,도로교통법,제78조,"가. 도로교통법시행규칙 [별표 16] 운전면허행정처분기준의 법규성 유무
나. 개인택시운전자에 대하여 “가”항의 기준에 따른 운전면허취소처분이 재량권의 범위를 일탈한 위법이 있다고 본 원심판결을 파기한 사례"
726,특정범죄가중처벌등에관한법률위반(도주차량),2012도9697,2015. 5. 28.,도로교통법,제54조,특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항에서 정한 ‘피해자를 구호하는 등 도로교통법 제54조 제1항에 따른 조치를 하지 아니하고 도주한 경우’의 의미 및 이 경우 운전자가 취하여야 할 조치의 내용과 정도 / 사고 운전자가 피해자를 구호하는 등 도로교통법 제54조 제1항에 정한 의무를 이행하기 전에 도주의 범의로 사고현장을 이탈한 것인지 판단하는 기준
729,손해배상(자),2004다29934,2005. 6. 10.,도로교통법,"제2조, 제5조, 제16조","신호기에 의하여 교통정리가 행하여지고 있는 교차로의 전방에 유턴을 허용하는 노면표지가 설치되어 있으나 교차로의 신호기에는 유턴 허용 시기에 관한 별도 표지가 부착되어 있지 않은 경우, 유턴을 할 수 있는 시기와 유턴을 하는 차량 운전자의 주의의무"
741,운전경력증명서상의기록삭제신청거부처분취소,91누1400,1991. 9. 24.,도로교통법,제70조,자동차운전면허대장상의 등재행위가 행정처분인지 여부(소극) 및 운전경력증명서에 한 등재의 말소를 구하는 소의 적부(소극)
742,특정범죄가중처벌등에관한법률위반등피고사건,79노336,1979. 7. 19.,도로교통법,제45조,"특정범죄가중처벌등에 관한 법률 제5조의 3의 죄가 성립하는 경우 도로교통법 제45조 제2항
의 신고불이행죄가 별도로 성립하는지 여부"
743,자동차운전면허취소처분취소,99누1602,2000. 10. 20.,도로교통법,"제41조, 제78조",실제 음주운전을 하지 아니하였더라도 제반 사정에 비추어 경찰공무원으로서는 음주운전을 하였다고 인정할 만한 상당한 이유가 있는 때에 해당한다는 이유로 그 경찰공무원의 음주측정에 불응한 자에 대한 운전면허취소처분은 정당하다고 한 사례
744,자동차운전면허취소처분취소,2005구단1140,2005. 11. 8.,도로교통법,제41조,"음주운전 경력이 있는 운전자가 운전면허 취소사유에 해당하는 호흡측정기의 측정 결과에 불복하면서 혈액채취에 의한 측정을 요구하였는데, 담당 경찰관이 운전자의 음주운전 경력을 확인하지 않은 채 호흡측정기의 측정 결과만을 보고서 운전면허 정지대상자라고 알려주어 운전자가 혈액채취에 의한 측정을 포기한 경우, 호흡측정기의 측정 결과만으로는 운전자의 음주운전 사실을 증명할 수 없다고 한 사례"
752,자동차운전면허취소처분취소,96누12863,1997. 1. 24.,도로교통법,제78조,"자동차를 이용한 범죄행위가 이루어진 경우, 직접 자동차를 운전하지 아니한 공범자의 운전면허도 취소할 수 있는지 여부(소극)"
761,교통사고처리특례법위반,97도1835,1997. 10. 10.,도로교통법,"제4조, 제5조","교차로 직전에 설치된 횡단보도에 따로 차량보조등이 설치되어 있지 아니한 경우, 교차로 신호가 적색이고 횡단보도의 보행자신호등이 녹색인 상태에서 우회전하기 위하여 횡단보도로 들어간 차량의 신호위반 여부(적극)"
773,특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:업무상과실치사),88노343,1988. 10. 26.,도로교통법,제2조,경운기 교통사고의 경우에도           특정범죄가중처벌등에관한법률 제5조의3 위반(도주운전)죄가 성립하는지 여부(소극)
775,교통사고처리특례법위반,85도1228,1985. 9. 10.,도로교통법,제44조,"차량진행신호시 횡단보도 앞에서 감속, 일단정지하지 않은 것의 횡단보도에서의 보행자보호의무위반 여부"
778,자동차운전면허취소처분취소,87누373,1987. 9. 8.,도로교통법,제65조,"가. 운전면허취소 또는 정지처분의 재량행위성 및 그 취소의 판단기준
나. 3년전의 위반행위를 이유로 한 운전면허취소처분의 당부"
779,손해배상(자),92다2530,1993. 5. 11.,도로교통법,"제40조, 제77조","가. 피해자가 공동음주유흥을 위하여 차량소유자에게 무면허음주운행을 하게 하였다는 사정만으로 자동차손해배상보장법에 의한 손해배상책임을 구할 수 없는 공동운행자에 해당한다고 볼 수 없다 한 사례
나. 운전면허취소처분 이후 적법한 통지 또는 공고가 없는 동안의 운전이 자동차종합보험약관상의 무면허운전인지 여부(소극)
다. 운전면허증을 회수당하여 소지하지 아니한 채 운전한 것이 위 “나”항의 “무면허운전”에 해당하는지 여부(소극)
라. 통상우편의 방법으로 발송되었다는 사실만으로 상당기간 내에 도달하였다고 인정할 수 있는지 여부(소극)
마. 자동차임의보험의 약관에 의하여 피해자에게 인정되는 직접청구권의 법적 성질(=보험자의 병존적 손해배상채무인수)
바. 보험회사가 소송의 결과에 따라 판결금액을 배상하도록 한 자동차종합보험약관 제15조 단서는 피해자가 직접청구권을 행사하여 보험회사를 상대로 소송을 제기하는 경우에도 적용되는지 여부(적극)"
780,특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반),2008도8627,2009. 6. 11.,도로교통법,제54조,"[1]           특정범죄가중처벌 등에 관한 법률 제5조의3 제1항에서 정한 ‘피해자를 구호하는 등           도로교통법 제54조 제1항의 규정에 의한 조치를 취하지 아니하고 도주한 때’의 의미 및 이에 해당하는지 여부의 판단 방법        
[2] 사고 운전자가 교통사고 현장에서 동승자로 하여금 사고차량의 운전자라고 허위 신고하도록 하였더라도 사고 직후 사고 장소를 이탈하지 아니한 채 보험회사에 사고접수를 하고, 경찰관에게 위 차량이 가해차량임을 밝히며 경찰관의 요구에 따라 동승자와 함께 조사를 받은 후 이틀 후 자진하여 경찰에 출두하여 자수한 경우,           특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항에 정한 도주한 때에 해당하지 않는다고 한 사례"
782,업무상과실치사,70도176,1970. 2. 24.,도로교통법,제11조,후방 차량이 추월함으로써 야기된 사고에 대한 앞 차량 운전사의 주의의무.
